,cow_name,side_length_shoulderbone,side_f_girth,side_r_girth,rear_width,cow_pixels,sticker_pixels,weight
56,360_b4-3_188_F,993.1414803541336,452.2830971858223,952.2777956037828,340.177894637497,693547,8331,188
57,360_b4-3_188_F,993.1414803541336,452.2830971858223,952.2777956037828,340.177894637497,693547,8331,188
58,214_b4-2_164_F,1083.436200244389,483.6992867474584,997.0160480152764,333.15011631395237,783674,8903,164
59,189_b4-2_181_F,1174.2376250146306,528.2423686150137,1031.8551254900078,382.04711751301045,901611,11126,181
60,75_b4-2_200_F,1140.4336894357339,533.3751025310424,951.5051234754335,409.1760012512953,930211,9946,200
61,113_b4-3_144_F,1048.7254168751704,472.3822604628586,981.0005096838635,334.18108863309425,763156,10856,144
62,373_b4-1_192_F,1055.284795683137,484.1745553000488,957.380801980069,350.051424793558,828648,9659,192
63,315_b4-3_181_M,1081.2053458987334,519.3476677525374,1056.42605041716,346.0520192109851,922567,10697,181
64,483_b4-3_229_F,1110.2058367708216,485.1741955215673,1052.1373484483859,335.2924096963723,842269,10871,229
65,101_b4-4_136_F,1059.9056561788884,500.1959615990517,1020.0313720665654,340.00588230205665,845267,12278,136
66,487_b4-3_239_F,1194.3977561934717,570.4244034050437,1111.2173504764944,428.0046728716872,1002263,13106,239
67,37_b4-1_101_F,1147.4462950395543,514.0038910358559,1207.1205407911839,406.0197039553622,948663,13173,101
68,341_b4-4_181_F,936.2974954575068,447.017896733453,864.0092592096453,380.1591771876617,633283,7274,181
69,57_b4-2_192_F,990.4039579888603,452.07079091664394,828.009661779378,293.0614270080592,639558,8881,192
70,284_b4-1_172_F,949.884729848838,426.1173547275445,905.4943401258785,397.0805963529319,637452,8054,172
71,95_b4-4_135_F,1073.7197027157506,487.14782150801005,979.0127680474857,345.0,789856,14148,135
72,417_b4-4_200_F,1141.4350616657962,475.1273513490883,931.2840597798289,364.00137362378183,807338,8250,200
73,137_b4-1_135_F,1045.814993199084,435.01839041585356,853.1318772616576,345.023187626571,678021,8213,135
74,232_b4-1_160_F,1057.2573007551189,519.5093839383462,1004.1274819463911,369.43876353192826,843239,11056,160
75,39_b4-2_174_F,921.4694786046904,417.20258867845007,916.1768388253438,270.1184925176357,580631,10438,174
76,154_b4-1_140_M,932.9421203911849,480.33738143101044,944.0529646158631,249.00803199896987,745201,10975,140
77,46_b4-4_119_F,957.5489543621255,469.3080012102926,909.1237539521228,325.1538097577822,652480,9792,119
78,390_b4-2_224_F,1105.622901354707,505.1672990208293,1014.4737552051309,328.01371922527875,858336,12208,224
79,88_b4-1_120_F,1010.4637549165235,489.494637355712,1000.0404991799082,336.2142174269256,815498,7976,120
80,54_b4-4_120_F,942.7581874478736,439.50199089423927,961.251788034748,285.0157890363269,609231,8613,120
81,44_b4-4_117_M,1111.944243206466,519.1146308860885,1103.7250563432906,331.03776219639957,917529,13807,117
82,464_b4-4_217_F,1102.793271651582,472.60977560774177,1000.6842658900958,335.00597009605667,808885,8106,217
83,253_b4-1_166_F,1001.0244752252564,490.04999744923987,1087.1968543000849,262.0477055804916,815891,12460,166
84,427_b4-3_202_F,1080.594743648145,492.10161552264793,1065.0380274900986,309.02588888311607,870011,12030,202
85,396_b4-4_195_F,1019.3846182869349,475.14734556766706,959.9192674386737,311.2715855968868,750368,8219,195
86,333_b4-1_183_F,1111.802140670722,509.00098231732323,1150.5324854170785,400.2811511925087,925303,12615,183
87,183_b4-4_155_F,935.4811596178728,480.00937490844905,898.4058103106859,301.20092961343926,692060,8926,155
88,86_b4-1_119_F,1022.996578684406,494.68373735145167,1068.079116919716,407.17686574755203,771068,12537,119
89,493_b4-1_254_F,1140.828207926154,508.0088581904847,943.0530207787895,388.0824654632054,824239,5100,254
90,418_b4-1_204_F,1180.0953351318697,539.534058239144,1206.87696141736,343.02332282222443,936683,12070,204
91,418_b4-1_204_F,1180.0953351318697,539.534058239144,1206.87696141736,343.02332282222443,936683,12070,204
92,6_b4-2_122_F,1150.6002781157322,495.40387564087547,1023.281486200156,315.0142853903613,890788,12860,122
93,254_b4-2_190_M,1072.0914140128164,520.0038461396223,1039.0943171820352,316.30997455028194,864942,10475,190
94,457_b4-3_211_F,1102.2957860755887,540.0009259251322,1002.2414878660732,360.0,859518,8880,211
95,19_b4-3_112_F,978.1462058404153,487.98565552688126,989.1637882575362,299.16717734403954,729289,11575,112
96,152_b4-1_140_F,988.6682962450045,449.0712638323677,996.1812084154168,269.3640659033792,678713,14923,140
97,97_b4-1_124_F,900.1538757345879,437.01830625272436,867.3851508989533,285.0157890363269,630918,8160,124
98,333_b4-2_134_M,833.4086632619078,408.35401308178666,864.8352444252026,333.0015014981164,562520,6800,134
99,70_b4-3_133_M,990.3660939268872,515.5133363939289,1048.5513816690147,336.0952246016001,812040,11431,133
100,68_b4-1_114_F,989.1900727362765,459.1840589567543,1065.3680115340426,281.0,693900,9654,114
101,123_b4-3_146_F,1094.1562959650691,494.97171636367267,1003.0319037797352,379.1068450977903,855957,11552,146
102,348_b4-2_179_F,1096.933908674538,504.22316487840976,995.0723591779645,326.3004750226392,800236,10132,179
103,277_b4-3_174_F,1014.1291830925684,471.02123094399894,990.1823064466462,294.0,734077,10553,174
104,427_b4-4_202_F,1072.9664486832755,485.5450545520982,949.1901811544408,321.0996729988992,827835,8506,202
105,396_b4-3_195_F,1088.5155028753609,499.03607084057563,949.3176496831817,376.26054802490256,842104,10362,195
106,266_b4-2_256_F,858.8515587690343,416.3472108709268,838.1169369485382,297.0824801296771,559194,4387,256
107,313_b4-3_181_F,1104.2943448193512,502.6728558416498,1083.0558619018689,428.05723916317544,891918,10996,181
108,136_b4-2_209_F,1003.3867649117163,484.3727903175404,947.5405004536746,209.28927349484493,680575,9159,209
109,294_b4-4_172_F,1039.809597955318,471.0265385304739,900.8446036914469,275.0018181758077,723023,8073,172
110,366_b4-3_188_M,1035.483461963541,488.0,1003.4007175600384,310.01451578918045,791327,7934,188
111,139_b4-1_136_F,997.5580183628418,463.1079787695306,994.0608633277944,381.03280698648507,688047,9794,136
